Sentiment,SentimentText,Clean_text,predicted_sentiment,predicted_sentiment_score
0,"@RailMinIndia My PNR is 8348062961, I am in way but there is no water in toilet and mess is everywhere in coach. please provide basic facil.",my pnr i way water toilet mess everywhere coach please provide basic facil,NEGATIVE,0.9912692308425903
0,@sureshpprabhu @RailMinIndia AC not working in prayag lucknow intercity today which departed from prayag at 3.45 pm..staff not helping us,ac working prayag lucknow intercity today departed prayag pmstaff helping u,NEGATIVE,0.9969794750213623
0,@RailMinIndia I'm traveling to chennai by train 16102 coach S4-46. My berth is very dirty(some one vomitted on the birth).,im traveling chennai train coach s my berth dirtysome one vomitted birth,NEGATIVE,0.9991771578788757
5,@RailMinIndia irctc is not responding at the time of tatkal booking.,irctc responding time tatkal booking,NEGATIVE,0.9997060894966125
7,@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn,matter notified concerned official,NEGATIVE,0.9291959404945374
6,@RailMinIndia If you can't give justice to graduate engineers then just do one thing at least. Stop recruiting B. Tech. as SSE.,if cant give justice graduate engineer one thing least stop recruiting b tech sse,NEGATIVE,0.9991162419319153
4,@sureshpprabhu @RailMinIndiaPlz wrkout smthng tht cn hlp trains to run on right time.Malwa exprs delayed more than 3 hrs @ Mathura junction,wrkout smthng tht cn hlp train run right timemalwa exprs delayed hr mathura junction,NEGATIVE,0.9855406880378723
0,@RailMinIndia @mumbairailusers Dirty water flowing ftm blower of local coach aft 1st rain. 8.08 Thane Vashi https://t.co/mBZUOFkLXQ,dirty water flowing ftm blower local coach aft st rain thane vashi httpstcombzuofklxq,NEGATIVE,0.9960312247276306
6,Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2,enter win amazon gift card books pnr urbanfantasy romance httpstcojbfxzdep,NEGATIVE,0.5243673920631409
3,@RailMinIndia still vendors are selling local local products like water etc. inside the train https://t.co/wdFyLlmMek,still vendor selling local local product like water etc inside train httpstcowdfyllmmek,NEGATIVE,0.9765437245368958
4,@Central_Railway @RailMinIndia @drmmumbaicr please update the status of today 12141 LTT PPTA EXPRESS departure from LTT.,please update status today ltt ppta express departure ltt,NEGATIVE,0.9848716855049133
0,@RailMinIndia #Swatch Bharat Abhiyaan# Train stops at kozhikod(calicut) but no one comes in 12218 coachA1 #no water# https://t.co/h5uUdJuvel,swatch bharat abhiyaan train stop kozhikodcalicut one come coacha water httpstcohuudjuvel,NEGATIVE,0.9977317452430725
5,@RailMinIndia @sureshpprabhu my reserved ticket was been allotted to RAC passenger as we boarded from next station. Kindly please help ??,reserved ticket allotted rac passenger boarded next station kindly please help,NEGATIVE,0.9912853837013245
4,@RailMinIndia  update:- today intercity 12930 late 16 min?,update today intercity late min,NEGATIVE,0.9916843175888062
0,@RailMinIndia  TRAIN NO 12656 THERE IS NO PROPER WATER SERVICE IN TRAIN KINDLY LOOK INTO MATTER.. https://t.co/VIQmURi8HK,train no there is no proper water service in train kindly look into matter httpstcoviqmurihk,NEGATIVE,0.9990525841712952
6,The Google i1 button is used 5 billion times pnr day. (source: AllTwitter),the google button used billion time pnr day source alltwitter,NEGATIVE,0.9944230914115906
3,"@RailMinIndia Sir, ?? ?????? ????? ?????? ?? ?????????? ?? 6 ?? water point ???? ???? ??? ?? ??? ???  ?????? ??????. https://t.co/sMfHUZdN2U",sir water point httpstcosmfhuzdnu,NEGATIVE,0.9980289340019226
4,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.,train departed varanasi reaching chunar minute mirzapur,POSITIVE,0.5952891111373901
