Item ID,Sentiment,SentimentText,SentimentText_Copy
1,0,"@RailMinIndia My PNR is 8348062961, I am in way but there is no water in toilet and mess is everywhere in coach. please provide basic facil.",my pnr   i am  way    no water  toilet and mess  everywhere  coach please provide basic facil
2,0,@sureshpprabhu @RailMinIndia AC not working in prayag lucknow intercity today which departed from prayag at 3.45 pm..staff not helping us,ac not working  prayag lucknow intercity today which departed from prayag at  pmstaff not helping us
3,0,@RailMinIndia I'm traveling to chennai by train 16102 coach S4-46. My berth is very dirty(some one vomitted on the birth).,im traveling to chennai by train  coach s my berth  very dirtysome one vomitted on the birth
4,5,@RailMinIndia irctc is not responding at the time of tatkal booking.,irctc  not responding at the time of tatkal booking
5,7,@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn,matter notified to concerned official
6,6,@RailMinIndia If you can't give justice to graduate engineers then just do one thing at least. Stop recruiting B. Tech. as SSE.,if you cant give justice to graduate engineers then just do one thing at least stop recruiting b tech as sse
7,4,@sureshpprabhu @RailMinIndiaPlz wrkout smthng tht cn hlp trains to run on right time.Malwa exprs delayed more than 3 hrs @ Mathura junction,wrkout smthng tht cn hlp trains to run on right timemalwa exprs delayed more than  hrs  mathura junction
8,0,@RailMinIndia @mumbairailusers Dirty water flowing ftm blower of local coach aft 1st rain. 8.08 Thane Vashi https://t.co/mBZUOFkLXQ,dirty water flowing ftm blower of local coach aft st rain  thane vashi httpstcombzuofklxq
9,6,Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2,enter to win  amazon gift card books pnr urbanfantasy romance httpstcojbfxzdep
10,3,@RailMinIndia still vendors are selling local local products like water etc. inside the train https://t.co/wdFyLlmMek,still vendors are selling local local products like water etc inside the train httpstcowdfyllmmek
11,4,@Central_Railway @RailMinIndia @drmmumbaicr please update the status of today 12141 LTT PPTA EXPRESS departure from LTT.,please update the status of today  ltt ppta express departure from ltt
12,0,@RailMinIndia #Swatch Bharat Abhiyaan# Train stops at kozhikod(calicut) but no one comes in 12218 coachA1 #no water# https://t.co/h5uUdJuvel,swatch bharat abhiyaan train stops at kozhikodcalicut  no one comes   coacha no water httpstcohuudjuvel
13,5,@RailMinIndia @sureshpprabhu my reserved ticket was been allotted to RAC passenger as we boarded from next station. Kindly please help ??,my reserved ticket was been allotted to rac passenger as we boarded from next station kindly please help
14,4,@RailMinIndia  update:- today intercity 12930 late 16 min?,update today intercity  late  min
15,0,@RailMinIndia  TRAIN NO 12656 THERE IS NO PROPER WATER SERVICE IN TRAIN KINDLY LOOK INTO MATTER.. https://t.co/VIQmURi8HK,train no    no proper water service  train kindly look into matter httpstcoviqmurihk
16,6,The Google i1 button is used 5 billion times pnr day. (source: AllTwitter),the google i button  used  billion times pnr day source alltwitter
17,3,"@RailMinIndia Sir, ?? ?????? ????? ?????? ?? ?????????? ?? 6 ?? water point ???? ???? ??? ?? ??? ???  ?????? ??????. https://t.co/sMfHUZdN2U",sir          water point          httpstcosmfhuzdnu
18,4,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.,train has departed varanasi and will be reaching chunar  few minutes and then mirzapur
19,4,@sureshpprabhu  @RailMinIndia student's pnr 2119025096 Not confirmed Tkt counter@ Raeberali denying refund sayin  he is late to reach window,students pnr  not confirmed tkt counter raeberali denying refund sayin  he  late to reach window
20,5,"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC.",dear sir my father  a senior citizen and  a patient tootravelling alone and his seat  not confirmed   having rac
